ano;uf;municipio;codigo_ibge;diagnostico;casos;rebanho
2022;MG;Teixeiras;3168507;Miíase Cutânea;1;8309
2022;MG;Teófilo Otoni;3168606;Actinomicose (notificação Sif);28;151269
2022;MG;Teófilo Otoni;3168606;Cisticercose Bovina;23;151269
2022;MG;Teófilo Otoni;3168606;Equinococose/hidatidose (notificaçao Sif);5;151269
2022;MG;Teófilo Otoni;3168606;Fasciolose Hepática (notificação Sif);2;151269
2022;MG;Teófilo Otoni;3168606;Fígado Amarelo;3;151269
2022;MG;Teófilo Otoni;3168606;Lesões Tuberculósicas;4;151269
2022;MG;Teófilo Otoni;3168606;Miíase Cutânea;9;151269
2022;MG;Timóteo;3168705;Cisticercose Bovina;1;1001
2022;MG;Tiros;3168903;Cisticercose Bovina;25;105872
2022;MG;Tiros;3168903;Equinococose/hidatidose (notificaçao Sif);1;105872
2022;MG;Tiros;3168903;Euritrematose (ruminantes);1;105872
2022;MG;Tiros;3168903;Fasciolose Hepática (notificação Sif);4;105872
2022;MG;Tiros;3168903;Lesões Tuberculósicas;6;105872
2022;MG;Tiros;3168903;Tuberculose (notificação Sif);5;105872
2022;MG;Tocos do Moji;3169059;Fasciolose Hepática (notificação Sif);1;10054
2022;MG;Tombos;3169208;Fasciolose Hepática (notificação Sif);2;21752
2022;MG;Tombos;3169208;Lesões Tuberculósicas;1;21752
2022;MG;Três Corações;3169307;Cisticercose Bovina;3;40854
2022;MG;Três Corações;3169307;Euritrematose (ruminantes);1;40854
2022;MG;Três Corações;3169307;Fasciolose Hepática (notificação Sif);1;40854
2022;MG;Três Corações;3169307;Lesões Tuberculósicas;1;40854
2022;MG;Três Marias;3169356;Cisticercose Bovina;3;27615
2022;MG;Três Pontas;3169406;Cisticercose Bovina;1;19048
2022;MG;Tumiritinga;3169505;Actinomicose (notificação Sif);5;26397
2022;MG;Tumiritinga;3169505;Cisticercose Bovina;2;26397
2022;MG;Tumiritinga;3169505;Equinococose/hidatidose (notificaçao Sif);1;26397
2022;MG;Tumiritinga;3169505;Fasciolose Hepática (notificação Sif);1;26397
2022;MG;Tumiritinga;3169505;Fígado Amarelo;4;26397
2022;MG;Tumiritinga;3169505;Miíase Cutânea;5;26397
