ano;mes;uf;especie;abatidos
2023;7;PE;BOVINOS;4496
2023;7;PI;BOVINOS;163
2023;7;PR;BOVINOS;58568
2023;7;RJ;BOVINOS;2183
2023;7;RO;BOVINOS;247181
2023;7;RS;BOVINOS;38050
2023;7;SC;BOVINOS;5095
2023;7;SP;BOVINOS;201345
2023;7;TO;BOVINOS;96652
2023;8;AC;BOVINOS;33128
2023;8;AL;BOVINOS;40
2023;8;AM;BOVINOS;4678
2023;8;BA;BOVINOS;38412
2023;8;DF;BOVINOS;26
2023;8;ES;BOVINOS;10894
2023;8;GO;BOVINOS;285517
2023;8;MA;BOVINOS;35570
2023;8;MG;BOVINOS;191229
2023;8;MS;BOVINOS;268162
2023;8;MT;BOVINOS;526095
2023;8;PA;BOVINOS;232045
2023;8;PE;BOVINOS;5212
2023;8;PI;BOVINOS;347
2023;8;PR;BOVINOS;61981
2023;8;RJ;BOVINOS;1450
2023;8;RO;BOVINOS;265652
2023;8;RR;BOVINOS;3009
2023;8;RS;BOVINOS;85036
2023;8;SC;BOVINOS;5583
2023;8;SP;BOVINOS;234620
2023;8;TO;BOVINOS;107766
2023;9;AC;BOVINOS;25044
2023;9;AL;BOVINOS;20
2023;9;AM;BOVINOS;2301
2023;9;BA;BOVINOS;36421
2023;9;CE;BOVINOS;36
2023;9;DF;BOVINOS;58
2023;9;ES;BOVINOS;8643
2023;9;GO;BOVINOS;263616
2023;9;MA;BOVINOS;30817
2023;9;MG;BOVINOS;176998
2023;9;MS;BOVINOS;212426
2023;9;MT;BOVINOS;491642
2023;9;PA;BOVINOS;203481
2023;9;PB;BOVINOS;134
2023;9;PE;BOVINOS;5302
2023;9;PI;BOVINOS;811
2023;9;PR;BOVINOS;61152
2023;9;RJ;BOVINOS;1172
2023;9;RN;BOVINOS;55
2023;9;RO;BOVINOS;206076
2023;9;RR;BOVINOS;45
2023;9;RS;BOVINOS;68499
2023;9;SC;BOVINOS;6737
2023;9;SP;BOVINOS;212766
2023;9;TO;BOVINOS;91548
2023;10;AC;BOVINOS;28254
2023;10;AL;BOVINOS;40
2023;10;AM;BOVINOS;3076
2023;10;BA;BOVINOS;36332
2023;10;CE;BOVINOS;1
2023;10;DF;BOVINOS;169
2023;10;ES;BOVINOS;7670
2023;10;GO;BOVINOS;260088
2023;10;MA;BOVINOS;31259
2023;10;MG;BOVINOS;182759
2023;10;MS;BOVINOS;253184
2023;10;MT;BOVINOS;494820
2023;10;PA;BOVINOS;222348
2023;10;PB;BOVINOS;393
2023;10;PE;BOVINOS;6479
2023;10;PI;BOVINOS;787
2023;10;PR;BOVINOS;65969
2023;10;RJ;BOVINOS;1035
2023;10;RN;BOVINOS;55
2023;10;RO;BOVINOS;230524
2023;10;RR;BOVINOS;856
2023;10;RS;BOVINOS;83252
2023;10;SC;BOVINOS;6417
2023;10;SP;BOVINOS;232062
2023;10;TO;BOVINOS;93013
2023;11;AC;BOVINOS;31548
2023;11;AL;BOVINOS;400
2023;11;AM;BOVINOS;3726
2023;11;BA;BOVINOS;37178
2023;11;CE;BOVINOS;110
2023;11;DF;BOVINOS;159
2023;11;ES;BOVINOS;10442
2023;11;GO;BOVINOS;260137
2023;11;MA;BOVINOS;30467
2023;11;MG;BOVINOS;183452
2023;11;MS;BOVINOS;273730
2023;11;MT;BOVINOS;488915
2023;11;PA;BOVINOS;213400
2023;11;PE;BOVINOS;7226
2023;11;PI;BOVINOS;726
2023;11;PR;BOVINOS;64264
2023;11;RJ;BOVINOS;1379
2023;11;RO;BOVINOS;240430
2023;11;RS;BOVINOS;74469
2023;11;SC;BOVINOS;5744
2023;11;SE;BOVINOS;60
2023;11;SP;BOVINOS;222022
2023;11;TO;BOVINOS;102214
2023;12;AC;BOVINOS;31169
2023;12;AL;BOVINOS;440
2023;12;AM;BOVINOS;1903
2023;12;BA;BOVINOS;36736
2023;12;CE;BOVINOS;72
2023;12;DF;BOVINOS;250
2023;12;ES;BOVINOS;10460
2023;12;GO;BOVINOS;228379
2023;12;MA;BOVINOS;29120
2023;12;MG;BOVINOS;169532
2023;12;MS;BOVINOS;268367
2023;12;MT;BOVINOS;469993
2023;12;PA;BOVINOS;225951
2023;12;PB;BOVINOS;201
2023;12;PE;BOVINOS;7389
2023;12;PI;BOVINOS;1002
